Number,Location,Species,Wood Type,CTW Tmin,CTW Tmax,Latitude,Longitude,Slope April - April:June-July Tmax,P-value April - April:June-July Tmax,Slope June-July - April:June-July Tmax,P-value June-July - April:June-July Tmax,Slope April:June-July Tmax,P-value April:June-July Tmax,January,January Sig,February,February Sig,March,March Sig,April,April Sig,May,May Sig,June,June Sig,July,July Sig,August,August Sig
23,"Prospect Mountain, NY",Quercus rubra,RP,0.289915971,13.01764731,43.4182667,-73.7550833,-0.151994167,0.248963811,-0.107161236,0.107012241,0.005596345,0.263483783,0.031776492,NS,-0.131261113,NS,-0.158678216,NS,-0.109874834,NS,-0.024651238,NS,-0.374026606,<0.002,-0.128147784,NS,0.031561701,NS
24,"Wachusett Mountain, MA",Quercus rubra,RP,1.826890791,13.08067246,42.49,-71.88,-0.026870357,0.844338183,-0.016758997,0.810377342,0.000665885,0.900676601,0.010094698,NS,-0.204348638,NS,-0.201557086,<0.05,-0.217961164,<0.05,-0.150864796,NS,-0.200058138,<0.05,0.03229273,NS,-0.069820408,NS
25,"Mashomack Preserve, NY",Quercus stellata,RP,3.164705937,13.20840353,41.0415,-72.2845333,0.265646592,0.142066467,0.120060956,0.200386459,-0.010276713,0.153573797,0.01483541,NS,0.097132669,NS,-0.009803786,NS,0.054798608,NS,-0.076890298,NS,-0.013090337,NS,-0.115012634,NS,-0.006220659,NS
26,"Aquidneck, RH",Quercus rubra,RP,2.895798365,13.45042037,41.5692833,-71.2840333,-0.020231958,0.884185125,-0.041504053,0.565280518,0.000738339,0.890783518,-0.020190309,NS,-0.077012135,NS,-0.132507302,NS,-0.126508467,NS,0.04002192,NS,-0.283222286,<0.002,-0.25421545,<0.05,-0.231669399,<0.05
27,"New Port, RI",Quercus alba,RP,2.895798365,13.45042037,41.557004,-71.26675,0.134039501,0.384366891,0.062551365,0.434168221,-0.005436927,0.362404993,0.098825746,NS,-0.005768069,NS,-0.135851607,NS,-0.157822871,NS,0.044795151,NS,-0.087178252,NS,-0.099360003,NS,-0.123333322,NS
28,"Mohawk Trail St.Forest, MA",Quercus rubra,RP,1.46470591,13.91260528,42.0609,-72.3009,-0.548160146,0.550738717,-0.317726473,0.513684006,0.020157298,0.56563854,0.064656973,NS,-0.15795634,NS,0.067238931,NS,-0.089422705,NS,-0.014162336,NS,-0.060792782,NS,-0.059589342,NS,-0.094600449,NS
29,"Lisha Kill, NY",Carya glabra,RP,1.743697508,14.27142882,42.7949667,-73.86005,-0.004442683,0.979066476,-0.049296814,0.577169535,5.35E-05,0.993081771,0.03511162,NS,-0.045791992,NS,-0.011602229,NS,-0.105692916,NS,-0.107711589,NS,-0.281039473,<0.05,-0.369017423,<0.002,-0.019060026,NS
30,"Lisha Kill, NY",Quercus alba,RP,1.743697508,14.27142882,42.7914667,-73.85855,-0.016242165,0.91976795,-0.027697241,0.74209143,3.10E-05,0.995786742,0.243349577,<0.05,0.030854677,NS,-0.085574005,NS,-0.287601643,<0.002,-0.292452161,<0.05,-0.114557829,NS,-0.3508924,<0.002,-0.049374638,NS
31,"Harvard Forest, MA",Fraxinus americana,RP,0.596638667,14.38823551,42.53,-72.18,-0.045195853,0.810621742,-0.006655628,0.947819126,0.001733826,0.804395735,0.184780863,NS,0.130412518,NS,0.030668494,NS,0.032715846,NS,-0.268809872,<0.05,0.094805001,NS,0.158471696,NS,0.078802311,NS
32,"Harvard Forest, MA",Quercus rubra,RP,0.596638667,14.38823551,42.5388,-72.1755,-0.11944688,0.437353749,-0.059132617,0.481166354,0.004085578,0.473283972,0.021103035,NS,-0.133675229,NS,-0.070143703,NS,-0.118374094,NS,0.025777894,NS,-0.172589459,<0.05,-0.030493273,NS,-0.041507029,NS
