tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-3.2036834, -1.15630426666667, 6.666666667, 16.9231250373333, 19.160964, -16.463094, -13.1439053333333, -6.111111111, 2.91242173333333, 7.2705574666, -9.1493245, -7.30464514, 0.277777777499998, 9.46524433333333, 12.9058780673, NA, NA, NA, NA, NA, NA, 3.28488806666665, 16.8307466666667, 9.29567853333333
-3.2036834, -0.615213748533334, 6.819925, 16.9231250373333, 18.396924, -13.391316, -11.6546813333333, -3.888888889, 2.91242173333333, 5.1111111108, -7.9372987, -5.99478177333333, 1.6666666665, 9.08669327483333, 11.3337626782, NA, NA, NA, NA, NA, NA, 3.28488806666665, 16.3809443333333, 9.29567853333333
-1.6076404, -0.460283794133333, 5.187125, 16.9231250373333, 18.747168, -12.299798, -11.0992666666667, -3.146681, 3.0993392592, 6.1499126666, -6.50605468, -4.41674586666667, 1.5903465, 9.08669327483333, 12.8008876673, NA, NA, NA, NA, NA, NA, 2.92743803333333, 16.3809443333333, 9.10443028158333
0.1471821, 0.886303053333333, 5.187125, 15.8728433333333, 17.423968, -12.299798, -11.0992666666667, -3.513921, 1.84961626666667, 5.1499126664, -5.32003592, -3.72828556666667, 1.5903465, 8.91210955973333, 10.0481344, NA, NA, NA, NA, NA, NA, 3.0684763, 17.0401296666667, 9.4539745
0.72030377, 1.17359959333333, 4.998389, 16.017965, 19.3915225, -11.6945735, -8.8207448, -2.961799, 4.85596757373334, 7.3026003, -4.467017, -3.42827278333333, 1.516406, 9.15969481491667, 12.531341875, NA, NA, NA, NA, NA, NA, 3.0684763, 17.0401296666667, 9.28859103333333
0.72030377, 1.68548363333333, 4.8060115, 17.4961116666667, 20.0134185, -10.0627563, -7.94203749646667, -2.5611875, 6.41228283333333, 8.15912819999999, -3.72588995, -3.13202662, 1.43121325, 9.8931677, 14.074223875, NA, NA, NA, NA, NA, NA, 2.92743803333333, 16.8307466666667, 9.10443028158333
-0.0696288650000002, 1.88638633333333, 5.6491180555, 17.0401296666667, 20.0134185, -10.678982, -7.41675538153333, -3.872374, 6.41228283333333, 8.15912819999999, -4.467017, -2.90636744833333, 1.05369075, 9.8931677, 14.074223875, NA, NA, NA, NA, NA, NA, 2.92743803333333, 16.8307466666667, 9.10443028158333
-0.689532385, 0.837134826666666, 5.008109, 15.7916603333333, 18.1815515, -10.1380361, -8.51774966666667, -4.349734722, 4.07050333333334, 8.15912819999999, -4.5652090225, -3.98675886833333, 0.327794139, 8.911644505, 12.522073, NA, NA, NA, NA, NA, NA, 3.36908186666665, 17.0401296666667, 9.28859103333333
-0.7917272, 0.168474303333332, 5.008109, 18.4693046666667, 20.6335105, -10.6728385, -9.12134433333333, -4.444444444, 3.9454159, 8.15912819999999, -5.01758095, -3.99226191656667, 0.261234139, 9.54452441666667, 13.881695275, NA, NA, NA, NA, NA, NA, 2.97947333333333, 16.8475066666667, 9.12216728833333
-2.8895265556, -1.03053524666667, 3.888888889, 17.4292766666667, 19.711864, -11.537454, -10.5613214853333, -5.085152, 1.5470618, 6.7533286, -7.2573195347, -5.38881496, 0.2446905, 9.0915411, 11.3520199, NA, NA, NA, NA, NA, NA, 3.29707866666666, 17.0747966666667, 9.19099162166666
-3.4488849556, -1.96155686666667, 4.67922, 14.1991373333333, 19.099492, -12.77678, -10.6207373333333, -5.394401, 0.970204526666667, 4.5109844, -7.9101217, -6.0142541866, 0.125922999999999, 7.64320199666667, 9.574344, NA, NA, NA, NA, NA, NA, 3.79764319999999, 17.989344, 9.60217791666666
-4.2240221334, -2.34758686666667, 5.388196, 16.1615786666667, 19.099492, -13.069727332, -11.4689526666667, -4.437011, 1.5470618, 5.0650292, -8.8185454, -7.2339213279, 0.2446905, 9.0915411, 10.2524473, NA, NA, NA, NA, NA, NA, 3.79764319999999, 18.037054, 10.2356212801666
-5.9471443112, -3.962962963, 6.658574, 18.413084, 20.607786, -13.802443998, -12.9525691106667, -2.895783, 4.40636173333333, 6.8936326, -9.5555555538, -8.8130858, 1.759954, 9.92783543333333, 13.4056405, NA, NA, NA, NA, NA, NA, 4.08951493333333, 18.5372363333333, 10.9077591881667
