"","tag","year","L","K","doy_ip","r","theta","a","b"
"815",40567,2016,96.8779691566227,99.3021480567642,221.493272679135,0.0528078111855921,5.89706579543602,96.9574475885203,99.2992042823682
"816",40567,2017,98.6204613484595,101.38130933418,334.927704865241,0.0161255138636601,14.0162470845461,99.39639937,101.151576929298
"817",40567,2018,101.294646086035,102.349030593434,167.922425876802,0.0651549681782177,1.58842176324636,101.299178694867,102.348076437934
"818",40567,2019,102.513144870941,104.149794601499,209.585074290054,0.0809053950009067,22.0919187529286,102.518461037623,104.149772650177
"819",60588,2013,292.244959177824,292.941596186358,195.729425939495,0.0830887910958268,2.99727456730161,292.304538907766,292.940534103555
"820",60588,2014,292.119959670375,295.316321410356,123.247467341847,0.0405333677180977,0.427422138102471,292.451330733157,295.310546239766
"821",60588,2015,293.0954247543,296.414657290723,163.137133918487,0.0352113315969111,4.35955517129135,293.741662225328,296.409688239486
"822",60588,2016,294.480878655442,298.352864751539,222.996811439411,0.0228940330495093,8.67628517702871,295.725731644655,298.299311428653
"823",60588,2017,297.115545007585,300.289847789818,183.02284577005,0.036767120361106,3.21680350757053,297.65322710981,300.25508672307
"824",60588,2018,298.658213821958,302.419353400552,140.249281998125,0.0406791191082233,1.11049127366894,298.866964565552,302.37157149551
"825",60588,2019,300.517913649521,304.314495343573,156.348649837272,0.0523941643703082,2.95679927972677,300.755536249141,304.247555643122
"826",112482,2011,260.704184045444,261.449225547622,157.183157696557,15.9042158987802,12.7347694670591,260.716550214616,261.449225547622
"827",112482,2012,261.087568673574,262.344219049141,202.33709779568,0.0439559413866542,4.7398856082546,261.109274321253,262.330287573544
"828",112482,2013,262.105348544128,263.583455798476,145.432512853885,0.0840157699486141,0.219399397120202,262.125815089713,263.583442745873
"829",112482,2014,263.007816935015,265.059470445829,132.066126793348,0.0395366168472486,0.125366222297811,263.161510815215,265.038291581751
"830",112482,2015,264.601294255132,265.295540892021,174.707614098635,15.4635073395549,3.2176948020913,264.60530515913,265.251072855201
"831",40568,2013,169.564980121703,174.000313062384,216.471136385067,0.055524484719642,2.3367641792758,169.9,173.9784978
"832",40568,2014,169.67972051292,175.244760928867,186.392079584462,0.0437643149257924,1.27082383148628,169.898310256301,175.214580809116
"833",40568,2015,175.360985645629,179.57159187606,179.674251020193,0.0699154496720989,2.11400660672658,175.40472957885,179.536074048593
"834",40568,2017,169.615708441441,174.451192150367,214.987617230168,0.0433216546840623,4.78857159462505,169.9,174.440537587296
"835",40568,2018,174.484574003951,179.311119098209,195.896261302675,0.048404635937272,1.89877608080089,174.502392206629,179.244931389287
"836",40569,2013,279.730885178206,283.406148426048,206.572611132604,0.0723936724728428,3.54582038851961,280,283.400229
"837",40569,2014,283.536661658165,289.557300640987,196.587349078148,0.0577145310721301,2.11332820753577,283.653788068619,289.550021141236
"838",40569,2015,288.892823545293,296.468402662027,340.042645134682,0.0168256155312603,7.63130705215745,289.58915735935,295.040040118892
"839",40569,2016,296.466749601101,303.293371181321,190.063767619248,0.0505484224728355,1.39447197042843,296.6176443,303.284529792874
"840",40569,2017,303.529318533403,308.971670418269,191.318228154121,0.0635012757783065,1.92179559382,303.611099,308.970870221084
"841",40569,2018,309.223404836461,314.753075150104,183.606252359553,0.0597063798857713,1.28458601013026,309.270351823652,314.729751420467
"842",40569,2019,314.605092228001,321.349489603656,189.245582768596,0.0600037573874036,1.97971500609254,314.691179943742,321.329946275027
"843",121221,2011,114.007640638277,114.677095954933,-31.0475974542757,0.0059347374461446,0.383739180434781,114.299869125271,114.533461670373
